C	CHEMISTRY; METALLURGY
C07C0017154000	of saturated hydrocarbons
C07C0017156000	of unsaturated hydrocarbons
C07C0017158000	of halogenated hydrocarbons
C07C0017160000	of hydroxyl groups
C07C0017180000	of oxygen atoms of carbonyl groups
C07C0017200000	of halogen atoms by other halogen atoms
C07C0017210000	with simultaneous increase of the number of halogen atoms
C07C0017230000	by dehalogenation
C07C0017250000	by splitting-off hydrogen halides from halogenated hydrocarbons
C07C0017260000	by reactions involving an increase in the number of carbon atoms in the skeleton
C07C0017263000	by condensation reactions
C07C0017266000	of hydrocarbons and halogenated hydrocarbons
C07C0017269000	of only halogenated hydrocarbons
C07C0017272000	by addition reactions
C07C0017275000	of hydrocarbons and halogenated hydrocarbons
C07C0017278000	of only halogenated hydrocarbons
C07C0017281000	of only one compound
C07C0017300000	by a Diels-Alder synthesis
C07C0017320000	by introduction of halogenated alkyl groups into ring compounds
C07C0017350000	by reactions not affecting the number of carbon or halogen atoms in the molecules
C07C0017354000	by hydrogenation
C07C0017357000	by dehydrogenation
C07C0017358000	by isomerisation
C07C0017361000	by reactions involving a decrease in the number of carbon atoms
C07C0017363000	by elimination of carboxyl groups
C07C0017367000	by depolymerisation
C07C0017370000	by disproportionation of halogenated hydrocarbons
C07C0017380000	Separation; Purification; Stabilisation; Use of additives
C07C0017383000	by distillation
C07C0017386000	with auxiliary compounds
C07C0017389000	by adsorption on solids
C07C0017392000	by crystallisation; Purification or separation of the crystals
C07C0017395000	by treatment giving rise to a chemical modification of at least one compound
C07C0017420000	Use of additives, e.g. for stabilisation
C07C0019000000	Acyclic saturated compounds containing halogen atoms
C07C0019010000	containing chlorine
C07C0019030000	Chloromethanes
C07C0019040000	Chloroform
C07C0019041000	Carbon tetrachloride
C07C0019043000	Chloroethanes
C07C0019045000	Dichloroethanes
C07C0019050000	Trichloroethanes
C07C0019055000	Tetrachloroethanes
C07C0019070000	containing iodine
C07C0019075000	containing bromine
C07C0019080000	containing fluorine
C07C0019100000	and chlorine
C07C0019120000	having two carbon atoms
C07C0019140000	and bromine
C07C0019160000	and iodine
C07C0021000000	Acyclic unsaturated compounds containing halogen atoms
C07C0021020000	containing carbon-to-carbon double bonds
C07C0021040000	Chloro-alkenes
C07C0021060000	Vinyl chloride
C07C0021067000	Allyl chloride; Methallyl chloride
C07C0021073000	Dichloro-alkenes
C07C0021080000	Vinylidene chloride
C07C0021090000	Dichloro-butenes
C07C0021100000	Trichloro-ethylene
C07C0021120000	Tetrachloro-ethylene
C07C0021140000	containing bromine
C07C0021160000	Crotyl bromide
C07C0021170000	containing iodine
C07C0021180000	containing fluorine
C07C0021185000	Tetrafluoroethene
C07C0021190000	Halogenated dienes
C07C0021200000	Halogenated butadienes
C07C0021210000	Chloroprene
C07C0021215000	Halogenated polyenes with more than two carbon-to-carbon double bonds
C07C0021220000	containing carbon-to-carbon triple bonds
C07C0022000000	Cyclic compounds containing halogen atoms bound to an acyclic carbon atom
C07C0022020000	having unsaturation in the rings
C07C0022040000	containing six-membered aromatic rings
C07C0022060000	Trichloromethylbenzene
C07C0022080000	containing fluorine
C07C0023000000	Compounds containing at least one halogen atom bound to a ring other than a six-membered aromatic ring
C07C0023020000	Monocyclic halogenated hydrocarbons
C07C0023040000	with a three-membered ring
C07C0023060000	with a four-membered ring
C07C0023080000	with a five-membered ring
C07C0023100000	with a six-membered ring
C07C0023120000	Hexachlorocyclohexanes
C07C0023140000	with a seven-membered ring
C07C0023160000	with an eight-membered ring
C07C0023180000	Polycyclic halogenated hydrocarbons
C07C0023200000	with condensed rings none of which is aromatic
C07C0023220000	with a bicyclo ring system containing four carbon atoms
C07C0023240000	with a bicyclo ring system containing five carbon atoms
C07C0023260000	with a bicyclo ring system containing six carbon atoms
C07C0023270000	with a bicyclo ring system containing seven carbon atoms
C07C0023280000	Saturated bicyclo ring system
C07C0023300000	Mono-unsaturated bicyclo ring system
C07C0023320000	with a bicyclo ring system containing eight carbon atoms
C07C0023340000	Halogenated completely or partially hydrogenated indenes
C07C0023360000	Halogenated completely or partially hydrogenated naphthalenes
C07C0023380000	with three condensed rings
C07C0023400000	Halogenated completely or partially hydrogenated fluorenes
C07C0023420000	Halogenated completely or partially hydrogenated anthracenes
C07C0023440000	Halogenated completely or partially hydrogenated phenanthrenes
C07C0023460000	with more than 3 condensed rings
C07C0025000000	Compounds containing at least one halogen atom bound to a six-membered aromatic ring
C07C0025020000	Monocyclic aromatic halogenated hydrocarbons
C07C0025060000	Monochloro-benzene
C07C0025080000	Dichloro-benzenes
C07C0025100000	Trichloro-benzenes
C07C0025120000	Hexachloro-benzene
C07C0025125000	Halogenated xylenes
C07C0025130000	containing fluorine
C07C0025180000	Polycyclic aromatic halogenated hydrocarbons
C07C0025200000	Dichloro-diphenyl-trichloro-ethane
C07C0025220000	with condensed rings
C07C0025240000	Halogenated aromatic hydrocarbons with unsaturated side chains
C07C0025280000	Halogenated styrenes
C07C0027000000	Compounds containing carbon and oxygen, with or without hydrogen or halogens
C07C0027000000	Processes involving the simultaneous production of more than one class of oxygen-containing compounds
C07C0027020000	Saponification of organic acid esters
C07C0027040000	by reduction of oxygen-containing compounds (C07C0029140000 takes precedence)
C07C0027060000	by hydrogenation of oxides of carbon
C07C0027080000	with moving catalysts
C07C0027100000	by oxidation of hydrocarbons
C07C0027120000	with oxygen
C07C0027140000	wholly gaseous reactions
C07C0027160000	with other oxidising agents
C07C0027180000	by addition of alkynes to aldehydes, ketones, or alkylene oxides
C07C0027200000	by oxo-reaction
C07C0027220000	with the use of catalysts which are specific for this process
C07C0027240000	with moving catalysts
C07C0027260000	Purification; Separation; Stabilisation
C07C0027280000	by distillation
C07C0027300000	by azeotropic distillation
C07C0027320000	by extractive distillation
C07C0027340000	by extraction
C07C0029000000	Preparation of compounds having hydroxy or O-metal groups bound to a carbon atom not belonging to a six-membered aromatic ring
C07C0029030000	by addition of hydroxy groups to unsaturated carbon-to-carbon bonds, e.g. with the aid of H2O2
C07C0029040000	by hydration of carbon-to-carbon double bonds
C07C0029050000	with formation of absorption products in mineral acids and their hydrolysis
C07C0029060000	the acid being sulfuric acid
C07C0029080000	the acid being phosphoric acid
C07C0029090000	by hydrolysis (of esters of organic acids C07C0027020000)
C07C0029100000	of ethers, including cyclic ethers, e.g. oxiranes
C07C0029120000	of esters of mineral acids
C07C0029124000	of halides
C07C0029128000	by alcoholysis (of esters of organic acids C07C0027020000)
C07C0029132000	by reduction of an oxygen-containing functional group
C07C0029136000	of C=O containing groups, e.g. —COOH
C07C0029140000	of a —CHO group
C07C0029141000	with hydrogen or hydrogen-containing gases
C07C0029143000	of ketones
C07C0029145000	with hydrogen or hydrogen-containing gases
C07C0029147000	of carboxylic acids or derivatives thereof
C07C0029149000	with hydrogen or hydrogen-containing gases
C07C0029150000	by reduction of oxides of carbon exclusively
C07C0029151000	with hydrogen or hydrogen-containing gases
C07C0029152000	characterised by the reactor used
C07C0029153000	characterised by the catalyst used
C07C0029154000	containing copper, silver, gold, or compounds thereof
C07C0029156000	containing iron group metals, platinum group metals, or compounds thereof
C07C0029157000	containing platinum group metals or compounds thereof
C07C0029158000	containing rhodium or compounds thereof
C07C0029159000	with reducing agents other than hydrogen or hydrogen-containing gases
C07C0029160000	by oxo-reaction combined with reduction
C07C0029170000	by hydrogenation of carbon-to-carbon double or triple bonds
C07C0029190000	in six-membered aromatic rings
C07C0029200000	in non-condensed rings substituted with hydroxy groups
C07C0029320000	increasing the number of carbon atoms by reactions without formation of hydroxy groups
C07C0029340000	by condensation involving hydroxy groups or the mineral ester groups derived therefrom, e.g. Guerbet reaction
C07C0029360000	increasing the number of carbon atoms by reactions with formation of hydroxy groups, which may occur via intermediates being derivatives of hydroxy groups, e.g. O-metal
C07C0029380000	by reaction with aldehydes or ketones
C07C0029400000	with compounds containing carbon-to-metal bonds
C07C0029420000	with compounds containing triple carbon-to-carbon bonds, e.g. with metal-alkynes
C07C0029440000	increasing the number of carbon atoms by addition reactions, i.e. reactions involving at least one carbon-to-carbon double or triple bond (C07C0029160000 takes precedence)
C07C0029460000	by diene-synthesis
C07C0029480000	by oxidation reactions with formation of hydroxy groups
C07C0029500000	with molecular oxygen only
C07C0029520000	in the presence of mineral boron compounds with, when necessary, hydrolysis of the intermediate formed
C07C0029540000	starting from compounds containing carbon-to-metal bonds and followed by conversion of the O-metal to hydroxy groups
C07C0029560000	by isomerisation
C07C0029580000	by elimination of halogen, e.g. by hydrogenolysis, splitting-off (C07C0029124000 takes precedence)
C07C0029600000	by elimination of hydroxy groups, e.g. by dehydration (C07C0029340000 takes precedence)
C07C0029620000	by introduction of halogen; by substitution of halogen atoms by other halogen atoms
C07C0029640000	by simultaneous introduction of hydroxy groups and halogens
C07C0029660000	by addition of hypohalogenous acids, which may be formed in situ, to carbon-to-carbon unsaturated bonds
C07C0029680000	Preparation of metal-alcoholates (C07C0029420000, C07C0029540000 take precedence)
C07C0029700000	by converting hydroxy groups to O-metal groups
C07C0029720000	by oxidation of carbon-to-metal bonds
C07C0029740000	Separation; Purification; Stabilisation; Use of additives
C07C0029760000	by physical treatment
C07C0029780000	by condensation or crystallisation
C07C0029800000	by distillation
C07C0029820000	by azeotropic distillation
C07C0029840000	by extractive distillation
C07C0029860000	by liquid-liquid treatment
C07C0029880000	by treatment giving rise to a chemical modification of at least one compound (chemisorption C07C0029760000)
C07C0029900000	using hydrogen only
C07C0029920000	by a consecutive conversion and reconstruction
C07C0029940000	Use of additives, e.g. for stabilisation
C07C0031000000	Saturated compounds having hydroxy or O-metal groups bound to acyclic carbon atoms
C07C0031020000	Monohydroxylic acyclic alcohols
C07C0031040000	Methanol
C07C0031080000	Ethanol
C07C0031100000	containing three carbon atoms
C07C0031120000	containing four carbon atoms
C07C0031125000	containing five to twenty-two carbon atoms
C07C0031130000	Monohydroxylic alcohols containing saturated rings
C07C0031133000	monocyclic
C07C0031135000	with five- or six-membered rings; Naphthenic alcohols
C07C0031137000	polycyclic with condensed ring systems
C07C0031180000	Polyhydroxylic acyclic alcohols
C07C0031200000	Dihydroxylic alcohols
C07C0031220000	Trihydroxylic alcohols, e.g. glycerol
C07C0031240000	Tetrahydroxylic alcohols, e.g. pentaerythritol
C07C0031260000	Hexahydroxylic alcohols
C07C0031270000	Polyhydroxylic alcohols containing saturated rings
C07C0031280000	Metal alcoholates
C07C0031300000	Alkali-metal or alkaline-earth-metal alcoholates
C07C0031320000	Aluminium alcoholates
C07C0031340000	Halogenated alcohols
C07C0031360000	the halogen not being fluorine
C07C0031380000	containing only fluorine as halogen
C07C0031400000	perhalogenated
C07C0031420000	Halogenated polyhydroxylic acyclic alcohols
C07C0031440000	Halogenated alcohols containing saturated rings
C07C0033000000	Unsaturated compounds having hydroxy or O-metal groups bound to acyclic carbon atoms
C07C0033020000	Acyclic alcohols with carbon-to-carbon double bonds
C07C0033025000	with only one double bond
C07C0033030000	in beta-position, e.g. allyl alcohol, methallyl alcohol
C07C0033035000	Alkenediols
C07C0033040000	Acyclic alcohols with carbon-to-carbon triple bonds
C07C0033042000	with only one triple bond
C07C0033044000	Alkynediols
C07C0033046000	Butynediols
C07C0033048000	with double and triple bonds
C07C0033050000	Alcohols containing rings other than six-membered aromatic rings
C07C0033120000	containing five-membered rings
C07C0033140000	containing six-membered rings
C07C0033160000	containing rings with more than six ring members
C07C0033180000	Monohydroxylic alcohols containing only six-membered aromatic rings as cyclic part
C07C0033200000	monocyclic
C07C0033220000	Benzylalcohol; Phenylethyl alcohol
C07C0033240000	polycyclic without condensed ring systems
C07C0033260000	Polyhydroxylic alcohols containing only six-membered aromatic rings as cyclic part
C07C0033280000	Alcohols containing only six-membered aromatic rings as cyclic part with unsaturation outside the aromatic rings
C07C0033300000	monocyclic
C07C0033320000	Cinnamyl alcohol
C07C0033340000	Monohydroxylic alcohols containing six-membered aromatic rings and other rings
C07C0033360000	Polyhydroxylic alcohols containing six-membered aromatic rings and other rings
C07C0033380000	Alcohols containing six-membered aromatic rings and other rings and having unsaturation outside the aromatic rings
C07C0033400000	Halogenated unsaturated alcohols
C07C0033420000	acyclic
C07C0033440000	containing rings other than six-membered aromatic rings
C07C0033460000	containing only six-membered aromatic rings as cyclic part
C07C0033480000	with unsaturation outside the aromatic rings
C07C0033500000	containing six-membered aromatic rings and other rings
C07C0035000000	Compounds having at least one hydroxy or O-metal group bound to a carbon atom of a ring other than a six-membered aromatic ring
C07C0035020000	monocyclic
C07C0035040000	containing three- or four-membered rings
C07C0035060000	containing five-membered rings
C07C0035080000	containing six-membered rings
C07C0035120000	Menthol
C07C0035140000	with more than one hydroxy group bound to the ring
C07C0035160000	Inositol
C07C0035170000	with unsaturation only outside the ring
C07C0035180000	with unsaturation at least in the ring
C07C0035200000	containing seven- or eight-membered rings
C07C0035205000	containing nine- to twelve-membered rings, e.g. cyclododecanols
C07C0035210000	polycyclic, at least one hydroxy group bound to a non-condensed ring
C07C0035220000	polycyclic, at least one hydroxy group bound to a condensed ring system
C07C0035230000	with a hydroxy group on a condensed ring system having two rings
C07C0035240000	the condensed ring system containing five carbon atoms
C07C0035260000	Bicyclopentadienols
C07C0035270000	the condensed ring system containing six carbon atoms
C07C0035280000	the condensed ring system containing seven carbon atoms
C07C0035290000	being a [2.2.1] system
C07C0035300000	Borneol; Isoborneol
C07C0035310000	the condensed ring system containing eight carbon atoms
C07C0035320000	the condensed ring system being a [4.3.0] system, e.g. indenols
C07C0035340000	the condensed ring system being a [5.3.0] system, e.g. azulenols
C07C0035360000	the condensed ring system being a [4.4.0] system, e.g. hydrogenated naphthols
C07C0035370000	with a hydroxy group on a condensed ring system having three rings
C07C0035380000	derived from the fluorene skeleton
C07C0035400000	derived from the anthracene skeleton
C07C0035420000	derived from the phenanthrene skeleton
C07C0035440000	with a hydroxy group on a condensed ring system having more than three rings
C07C0035460000	O-metal derivatives of the cyclically bound hydroxy groups
C07C0035480000	Halogenated derivatives
C07C0035500000	Alcohols with at least two rings
C07C0035520000	Alcohols with a condensed ring system
C07C0037000000	Preparation of compounds having hydroxy or O-metal groups bound to a carbon atom of a six-membered aromatic ring
C07C0037010000	by replacing functional groups bound to a six-membered aromatic ring by hydroxy groups, e.g. by hydrolysis
C07C0037020000	by substitution of halogen
C07C0037040000	by substitution of SO3H groups or a derivative thereof
C07C0037045000	by substitution of a group bound to the ring by nitrogen
C07C0037050000	by substitution of a NH2 group
C07C0037055000	by substitution of a group bound to the ring by oxygen, e.g. ether group
C07C0037060000	by conversion of non-aromatic six-membered rings or of such rings formed in situ into aromatic six-membered rings, e.g. by dehydrogenation
C07C0037070000	with simultaneous reduction of C=O group in that ring
C07C0037080000	by decomposition of hydroperoxides, e.g. cumene hydroperoxide
C07C0037110000	by reactions increasing the number of carbon atoms
C07C0037140000	by addition reactions, i.e. reactions involving at least one carbon-to-carbon unsaturated bond
C07C0037160000	by condensation involving hydroxy groups of phenols or alcohols or the ether or mineral ester group derived therefrom
C07C0037180000	by condensation involving halogen atoms of halogenated compounds
C07C0037200000	using aldehydes or ketones
C07C0037480000	by exchange of hydrocarbon groups which may be substituted, from other compounds, e.g. transalkylation
C07C0037500000	by reactions decreasing the number of carbon atoms (C07C0037010000, C07C0037080000, C07C0037480000 take precedence)
C07C0037520000	by splitting polyaromatic compounds, e.g. polyphenolalkanes
C07C0037540000	by hydrolysis of lignin or sulfite waste liquor
C07C0037560000	by replacing a carboxyl or aldehyde group by a hydroxy group
C07C0037580000	by oxidation reactions introducing directly a hydroxy group on a CH-group belonging to a six-membered aromatic ring with the aid of molecular oxygen
C07C0037600000	by oxidation reactions introducing directly a hydroxy group on a CH-group belonging to a six-membered aromatic ring with the aid of other oxidants than molecular oxygen or their mixtures with molecular oxygen
C07C0037620000	by introduction of halogen; by substitution of halogen atoms by other halogen atoms
C07C0037640000	Preparation of O-metal compounds with the O-metal group linked to a carbon atom belonging to a six-membered aromatic ring
C07C0037660000	by conversion of hydroxy groups to O-metal groups
C07C0037680000	Separation; Purification; Stabilisation; Use of additives
C07C0037700000	by physical treatment
C07C0037720000	by liquid-liquid treatment
C07C0037740000	by distillation
C07C0037760000	by steam distillation
C07C0037780000	by azeotropic distillation
C07C0037800000	by extractive distillation
C07C0037820000	by solid-liquid treatment; by chemisorption
C07C0037840000	by crystallisation
C07C0037860000	by treatment giving rise to a chemical modification (by chemisorption C07C0037820000)
C07C0037880000	Use of additives, e.g. for stabilisation
C07C0039000000	Compounds having at least one hydroxy or O-metal group bound to a carbon atom of a six-membered aromatic ring
C07C0039020000	monocyclic with no unsaturation outside the aromatic ring
C07C0039040000	Phenol
C07C0039060000	Alkylated phenols
C07C0039070000	containing only methyl groups as alkyl groups, e.g. cresols, xylenols
C07C0039080000	Dihydroxy benzenes; Alkylated derivatives thereof
C07C0039100000	Polyhydroxy benzenes; Alkylated derivatives thereof (C07C0039080000 takes precedence)
C07C0039110000	Alkylated hydroxy benzenes containing also acyclically bound hydroxy groups, e.g. saligenol
C07C0039120000	polycyclic with no unsaturation outside the aromatic rings
C07C0039140000	with at least one hydroxy group on a condensed ring system containing two rings
C07C0039150000	with all hydroxy groups on non-condensed rings
C07C0039160000	Bis(hydroxy phenyl)alkanes; Tris(hydroxy phenyl)alkanes
C07C0039170000	containing other rings in addition to the six-membered aromatic rings
C07C0039180000	monocyclic with unsaturation outside the aromatic ring
C07C0039190000	containing carbon-to-carbon double bonds but no carbon-to-carbon triple bonds
C07C0039200000	Hydroxy styrenes
C07C0039205000	polycyclic, containing only six-membered aromatic rings as cyclic part, with unsaturation outside the rings
C07C0039210000	with at least one hydroxy group on a non-condensed ring
C07C0039215000	containing the  structure, e.g. diethylstilbestrol
C07C0039225000	with at least one hydroxy group on a condensed ring system
C07C0039230000	polycyclic, containing six-membered aromatic rings and other rings, with unsaturation outside the aromatic rings
C07C0039235000	Metal derivatives of a hydroxy group bound to a six-membered aromatic ring
C07C0039240000	Halogenated derivatives
C07C0039260000	monocyclic monohydroxylic containing halogen bound to ring carbon atoms
C07C0039270000	all halogen atoms being attached to the ring
C07C0039280000	the halogen being one chlorine atom
C07C0039300000	the halogen being two chlorine atoms
C07C0039320000	the halogen being three chlorine atoms
C07C0039340000	the halogen being four chlorine atoms
C07C0039360000	Pentachlorophenol
C07C0039367000	polycyclic non-condensed, containing only six-membered aromatic rings, e.g. halogenated poly-(hydroxy-phenyl)alkanes
C07C0039373000	with all hydroxy groups on non-condensed rings and with unsaturation outside the aromatic rings
C07C0039380000	with at least one hydroxy group on a condensed ring system containing two rings
C07C0039400000	with at least one hydroxy group on a condensed ring system containing more than two rings
C07C0039420000	containing six-membered aromatic rings and other rings
C07C0039440000	Metal derivatives of a hydroxy group bound to a carbon atom of a six-membered aromatic ring
C07C0041000000	Preparation of ethers; Preparation of compounds having  groups,  groups or  groups
C07C0041010000	Preparation of ethers
C07C0041020000	from oxiranes
C07C0041030000	by reaction of an oxirane ring with a hydroxy group
C07C0041050000	by addition of compounds to unsaturated compounds
C07C0041060000	by addition of organic compounds only
C07C0041080000	to carbon-to-carbon triple bonds
C07C0041090000	by dehydration of compounds containing hydroxy groups
C07C0041140000	by exchange of organic parts on the ether-oxygen for other organic parts, e.g. by trans-etherification
C07C0041160000	by reaction of esters of mineral or organic acids with hydroxy or O-metal groups
C07C0041180000	by reactions not forming ether-oxygen bonds
C07C0041200000	by hydrogenation of carbon-to-carbon double or triple bonds
C07C0041220000	by introduction of halogen; by substitution of halogen atoms by other halogen atoms
C07C0041240000	by elimination of halogen, e.g. elimination of HCl
C07C0041260000	by introduction of hydroxy or O-metal groups
C07C0041280000	from acetals, e.g. by dealcoholysis
C07C0041300000	by increasing the number of carbon atoms, e.g. by oligomerisation
C07C0041320000	by isomerisation
C07C0041340000	Separation; Purification; Stabilisation; Use of additives
C07C0041360000	by solid-liquid treatment; by chemisorption
C07C0041380000	by liquid-liquid treatment
C07C0041400000	by change of physical state, e.g. by crystallisation
C07C0041420000	by distillation
C07C0041440000	by treatment giving rise to a chemical modification (by chemisorption C07C0041360000)
C07C0041460000	Use of additives, e.g. for stabilisation
C07C0041480000	Preparation of compounds having  groups
C07C0041500000	by reactions producing  groups
C07C0041520000	by substitution of halogen only
C07C0041540000	by addition of compounds to unsaturated carbon-to-carbon bonds
C07C0041560000	by condensation of aldehydes, paraformaldehyde, or ketones
C07C0041580000	Separation; Purification; Stabilisation; Use of additives
C07C0041600000	Preparation of compounds having  groups or  groups
C07C0043000000	Ethers; Compounds having  groups,  groups or  groups
C07C0043020000	Ethers
C07C0043030000	having all ether-oxygen atoms bound to acyclic carbon atoms
C07C0043040000	Saturated ethers
C07C0043060000	Diethyl ether
C07C0043100000	of polyhydroxy compounds
C07C0043110000	Polyethers containing —O—(C—C—O—)n units with 2 ≤ n ≤ 10
C07C0043115000	containing carbocyclic rings
C07C0043120000	containing halogen
C07C0043130000	containing hydroxy or O-metal groups (C07C0043110000 takes precedence)
C07C0043140000	Unsaturated ethers
C07C0043150000	containing only non-aromatic carbon-to-carbon double bonds
C07C0043160000	Vinyl ethers
C07C0043162000	containing rings other than six-membered aromatic rings
C07C0043164000	containing six-membered aromatic rings
C07C0043166000	having unsaturation outside the aromatic rings
C07C0043168000	containing six-membered aromatic rings and other rings
C07C0043170000	containing halogen
C07C0043172000	containing rings other than six-membered aromatic rings
C07C0043174000	containing six-membered aromatic rings
C07C0043176000	having unsaturation outside the aromatic rings
C07C0043178000	containing hydroxy or O-metal groups
C07C0043180000	having an ether-oxygen atom bound to a carbon atom of a ring other than a six-membered aromatic ring
C07C0043184000	to a carbon atom of a non-condensed ring
C07C0043188000	Unsaturated ethers
C07C0043192000	containing halogen
C07C0043196000	containing hydroxy or O-metal groups
C07C0043200000	having an ether-oxygen atom bound to a carbon atom of a six-membered aromatic ring
C07C0043205000	the aromatic ring being a non-condensed ring
C07C0043210000	containing rings other than six-membered aromatic rings
C07C0043215000	having unsaturation outside the six-membered aromatic rings
C07C0043225000	containing halogen
C07C0043230000	containing hydroxy or O-metal groups
C07C0043235000	having an ether-oxygen atom bound to a carbon atom of a six-membered aromatic ring and to a carbon atom of a ring, other than a six-membered aromatic ring
C07C0043243000	having unsaturation outside the six-membered aromatic rings
C07C0043247000	containing halogen
C07C0043253000	containing hydroxy or O-metal groups
C07C0043257000	having an ether-oxygen atom bound to carbon atoms both belonging to six-membered aromatic rings
C07C0043263000	the aromatic rings being non-condensed
C07C0043267000	containing other rings
C07C0043275000	having all ether-oxygen atoms bound to carbon atoms of six-membered aromatic rings
C07C0043285000	having unsaturation outside the six-membered aromatic rings
C07C0043290000	containing halogen
C07C0043295000	containing hydroxy or O-metal groups
C07C0043300000	Compounds having  groups
C07C0043303000	having acetal carbon atoms bound to acyclic carbon atoms
C07C0043305000	having acetal carbon atoms as ring members or bound to carbon atoms of rings other than six-membered aromatic rings
C07C0043307000	having acetal carbon atoms bound to carbon atoms of six-membered aromatic rings
C07C0043313000	containing halogen
C07C0043315000	containing oxygen atoms singly bound to carbon atoms not being acetal carbon atoms
C07C0043317000	having  groups, X being hydrogen or metal
C07C0043320000	Compounds having  groups or  groups
C07C0045000000	Preparation of compounds having C=O groups bound only to carbon or hydrogen atoms; Preparation of chelates of such compounds
C07C0045260000	by hydration of carbon-to-carbon triple bonds
C07C0045270000	by oxidation
C07C0045280000	of —CHx-moieties
C07C0045290000	of hydroxy groups
C07C0045300000	with halogen containing compounds, e.g. hypohalogenation
C07C0045310000	with compounds containing mercury atoms, which may be regenerated in situ, e.g. by oxygen
C07C0045320000	with molecular oxygen
C07C0045330000	of CHx-moieties
C07C0045340000	in unsaturated compounds
C07C0045350000	in propene or isobutene
C07C0045360000	in compounds containing six-membered aromatic rings
C07C0045370000	of C—O— functional groups to C=O groups
C07C0045380000	being a primary hydroxy group
C07C0045390000	being a secondary hydroxy group
C07C0045400000	by oxidation with ozone; by ozonolysis
C07C0045410000	by hydrogenolysis or reduction of carboxylic groups or functional derivatives thereof
C07C0045420000	by hydrolysis
C07C0045430000	of CX2 groups, X being halogen
C07C0045440000	by reduction and hydrolysis of nitriles
C07C0045450000	by condensation
C07C0045460000	Friedel-Crafts reactions
C07C0045470000	using phosgene
C07C0045480000	involving decarboxylation
C07C0045490000	by reaction with carbon monoxide
C07C0045500000	by oxo-reactions
C07C0045510000	by pyrolysis, rearrangement or decomposition
C07C0045520000	by dehydration and rearrangement involving two hydroxy groups in the same molecule
C07C0045530000	of hydroperoxides
C07C0045540000	of compounds containing doubly bound oxygen atoms, e.g. esters
C07C0045550000	of oligo- or polymeric oxo-compounds
C07C0045560000	from heterocyclic compounds (C07C0045550000 takes precedence)
C07C0045570000	with oxygen as the only hetero atom
C07C0045580000	in three-membered rings
C07C0045590000	in five-membered rings (from ozonides C07C0045400000)
C07C0045600000	in six-membered rings
C07C0045610000	by reactions not involving the formation of C=O groups
C07C0045620000	by hydrogenation of carbon-to-carbon double or triple bonds
C07C0045630000	by introduction of halogen; by substitution of halogen atoms by other halogen atoms
C07C0045640000	by introduction of functional groups containing oxygen only in singly bound form
C07C0045650000	by splitting-off hydrogen atoms or functional groups; by hydrogenolysis of functional groups
C07C0045660000	by dehydration
C07C0045670000	by isomerisation; by change of size of the carbon skeleton
C07C0045680000	by increase in the number of carbon atoms
C07C0045690000	by addition to carbon-to-carbon double or triple bonds
C07C0045700000	by reaction with functional groups containing oxygen only in singly bound form
C07C0045710000	being hydroxy groups
C07C0045720000	by reaction of compounds containing C=O groups with the same or other compounds containing C=O groups
C07C0045730000	combined with hydrogenation
C07C0045740000	combined with dehydration
C07C0045750000	Reactions with formaldehyde
C07C0045760000	with the aid of ketenes
C07C0045770000	Preparation of chelates of aldehydes or ketones
C07C0045780000	Separation; Purification; Stabilisation; Use of additives
C07C0045790000	by solid-liquid treatment; by chemisorption
C07C0045800000	by liquid-liquid treatment
C07C0045810000	by change in the physical state, e.g. crystallisation
C07C0045820000	by distillation
C07C0045830000	by extractive distillation
C07C0045840000	by azeotropic distillation
C07C0045850000	by treatment giving rise to a chemical modification
C07C0045860000	Use of additives, e.g. for stabilisation
C07C0045870000	Preparation of ketenes or dimeric ketenes
C07C0045880000	from ketones
C07C0045890000	from carboxylic acids, their anhydrides, esters or halides
C07C0045900000	Separation; Purification; Stabilisation; Use of additives
C07C0046000000	Preparation of quinones
C07C0046020000	by oxidation giving rise to quinoid structures
C07C0046040000	of unsubstituted ring carbon atoms in six-membered aromatic rings
C07C0046060000	of at least one hydroxy group on a six-membered aromatic ring
C07C0046080000	with molecular oxygen
C07C0046100000	Separation; Purification; Stabilisation; Use of additives
C07C0047000000	Compounds having —CHO groups
C07C0047020000	Saturated compounds having —CHO groups bound to acyclic carbon atoms or to hydrogen
C07C0047040000	Formaldehyde
C07C0047042000	Preparation from carbon monoxide
C07C0047045000	Preparation by depolymerisation
C07C0047048000	Preparation by oxidation of hydrocarbons
C07C0047052000	Preparation by oxidation of methanol
C07C0047055000	using noble metals or compounds thereof as catalysts
C07C0047058000	Separation; Purification; Stabilisation; Use of additives
C07C0047060000	Acetaldehyde
C07C0047070000	Preparation by oxidation
C07C0047090000	Separation; Purification; Stabilisation; Use of additives
C07C0047105000	containing rings
C07C0047110000	monocyclic
C07C0047115000	containing condensed ring systems
C07C0047120000	containing more than one —CHO group
C07C0047127000	Glyoxal
C07C0047133000	containing rings
C07C0047140000	containing halogen
C07C0047160000	Trichloroacetaldehyde
C07C0047170000	containing rings
C07C0047190000	containing hydroxy groups
C07C0047192000	containing rings
C07C0047195000	containing halogen
C07C0047198000	containing ether groups,  groups,  groups, or  groups
C07C0047200000	Unsaturated compounds having —CHO groups bound to acyclic carbon atoms
C07C0047210000	with only carbon-to-carbon double bonds as unsaturation
C07C0047220000	Acrylaldehyde; Methacrylaldehyde
