B	PERFORMING OPERATIONS; TRANSPORTING
B23K0026200000	Bonding (soldering by means of radiant energy B23K0001005000;joining of preformed plastics parts by heating using laser beam B29C0065160000)
B23K0026210000	by welding
B23K0026211000	with interposition of special material to facilitate connection of the parts
B23K0026220000	Spot welding
B23K0026240000	Seam welding
B23K0026242000	Fillet welding, i.e. involving a weld of substantially triangular cross section joining two parts
B23K0026244000	Overlap seam welding
B23K0026260000	of rectilinear seams
B23K0026262000	of longitudinal seams of tubes
B23K0026280000	of curved planar seams
B23K0026282000	of tube sections
B23K0026300000	of three-dimensional seams
B23K0026302000	of helicoidal seams
B23K0026320000	taking account of the properties of the material involved
B23K0026322000	involving coated metal parts (using absorbing layers on the workpiece B23K0026180000)
B23K0026323000	involving parts made of dissimilar metallic material
B23K0026324000	involving non-metallic parts
B23K0026340000	Laser welding for purposes other than joining
B23K0026342000	Build-up welding
B23K0026346000	in combination with welding or cutting covered by groups B23K0005000000-B23K0025000000, e.g. in combination with resistance welding
B23K0026348000	in combination with arc heating, e.g. TIG [tungsten inert gas], MIG [metal inert gas] or plasma welding (laser beam for starting a welding or cutting arc B23K0009067000)
B23K0026351000	for trimming or tuning of electrical components
B23K0026352000	for surface treatment
B23K0026354000	by melting
B23K0026356000	by shock processing
B23K0026359000	by providing a line or line pattern, e.g. a dotted break initiation line
B23K0026360000	Removing material (B23K0026550000, B23K0026570000 take precedence)
B23K0026361000	for deburring or mechanical trimming (B23K0026351000 takes precedence)
B23K0026362000	Laser etching
B23K0026364000	for making a groove or trench, e.g. for scribing a break initiation groove
B23K0026380000	by boring or cutting
B23K0026382000	by boring
B23K0026384000	of specially shaped holes
B23K0026386000	of blind holes
B23K0026388000	Trepanning, i.e. boring by moving the beam spot about an axis
B23K0026400000	taking account of the properties of the material involved
B23K0026402000	involving non-metallic material, e.g. isolators
B23K0026500000	Working by transmitting the laser beam through or within the workpiece
B23K0026530000	for modifying or reforming the material inside the workpiece, e.g. for producing break initiation cracks
B23K0026550000	for creating voids inside the workpiece, e.g. for forming flow passages or flow patterns
B23K0026570000	the laser beam entering a face of the workpiece from which it is transmitted through the workpiece material to work on a different workpiece face, e.g. for effecting removal, fusion splicing, modifying or reforming
B23K0026600000	Preliminary treatment
B23K0026700000	Auxiliary operations or equipment
B23K0028000000	Welding or cutting not covered by groups B23K0005000000-B23K0026000000 (joining workpieces by electrolysis C25D0002000000;electrolytic removal of materials C25F)
B23K0028020000	Combined welding or cutting procedures or apparatus
B23K0031000000	Processes relevant to this subclass, specially adapted for particular articles or purposes, but not covered by any single one of main groups B23K0001000000-B23K0028000000 (making tubes or profiled bars involving operations other than soldering or welding B21C0037040000, B21C0037080000)
B23K0031020000	relating to soldering or welding (dip or wave soldering in the manufacture of printed circuits H05K0003340000)
B23K0031100000	relating to cutting or desurfacing
B23K0031120000	relating to investigating the properties, e.g. the weldability, of materials
B23K0033000000	Specially-profiled edge portions of workpieces for making soldering or welding connections; Filling the seams formed thereby
B23K0035000000	Rods, electrodes, materials, or media, for use in soldering, welding, or cutting
B23K0035020000	characterised by mechanical features, e.g. shape
B23K0035040000	specially designed for use as electrodes (ignition tips for arc welding or cutting B23K0009260000)
B23K0035060000	of non-circular cross-section; with special arrangement, e.g. internal
B23K0035080000	multi-cored; multiple
B23K0035100000	with more than one layer of coating or sheathing material
B23K0035120000	not specially designed for use as electrodes
B23K0035140000	for soldering
B23K0035160000	of non-circular cross-section; with special arrangement, e.g. internal (B23K0035140000 takes precedence)
B23K0035180000	multi-cored; multiple
B23K0035200000	with more than one layer of coating or sheathing material
B23K0035220000	characterised by the composition or nature of the material
B23K0035240000	Selection of soldering or welding materials proper (B23K0035340000 takes precedence)
B23K0035260000	with the principal constituent melting at less than 400°C
B23K0035280000	with the principal constituent melting at less than 950°C
B23K0035300000	with the principal constituent melting at less than 1550°C
B23K0035320000	with the principal constituent melting at more than 1550°C
B23K0035340000	comprising compounds which yield metals when heated
B23K0035360000	Selection of non-metallic compositions, e.g. coatings, fluxes (B23K0035340000 takes precedence); Selection of soldering or welding materials, conjoint with selection of non-metallic compositions, both selections being of interest (selection of soldering or welding materials proper B23K0035240000)
B23K0035362000	Selection of compositions of fluxes (B23K0035365000, B23K0035368000 take precedence)
B23K0035363000	for soldering or brazing
B23K0035365000	Selection of non-metallic compositions of coating materials either alone or conjoint with selection of soldering or welding materials
B23K0035368000	Selection of non-metallic compositions of core materials either alone or conjoint with selection of soldering or welding materials
B23K0035380000	Selection of media, e.g. special atmospheres for surrounding the working area
B23K0035400000	Making wire or rods for soldering or welding (processes involving a single technical art, see the relevant subclasses, e.g. B05D, B21C)
B23K0037000000	Auxiliary devices or processes, not specially adapted to a procedure covered by only one of the other main groups of this subclass (eye-shields for welders worn on the operator's body or carried in the hand A61F0009000000;applicable to metal-working machines other than soldering, welding, or flame-cutting machines B23Q;other protective shields F16P0001060000)
B23K0037020000	Carriages for supporting the welding or cutting element
B23K0037040000	for holding or positioning work
B23K0037047000	moving work to adjust its position between soldering, welding or cutting steps (B23K0037053000 takes precedence)
B23K0037053000	aligning cylindrical work; Clamping devices therefor
B23K0037060000	for positioning the molten material, e.g. confining it to a desired area
B23K0037080000	for flash removal
B23K0101000000	Indexing scheme associated with groups B23K0001000000-B23K0031000000, relating to articles made by soldering, welding or cutting or to materials to be soldered, welded or cut.
B23K0101000000	Articles made by soldering, welding or cutting
B23K0101020000	Honeycomb structures
B23K0101040000	Tubular or hollow articles
B23K0101060000	Tubes
B23K0101080000	finned or ribbed
B23K0101100000	Pipe-lines
B23K0101120000	Vessels
B23K0101140000	Heat exchangers
B23K0101160000	Bands or sheets of indefinite length
B23K0101180000	Sheet panels
B23K0101200000	Tools
B23K0101220000	Nets, wire fabrics or the like
B23K0101240000	Frameworks
B23K0101260000	Railway- or like rails
B23K0101280000	Beams
B23K0101300000	Chains, hoops or rings
B23K0101320000	Wires
B23K0101340000	Coated articles
B23K0101360000	Electric or electronic devices
B23K0101380000	Conductors
B23K0101400000	Semiconductor devices
B23K0101420000	Printed circuits
B23K0103000000	Materials to be soldered, welded or cut
B23K0103020000	Iron or ferrous alloys
B23K0103040000	Steel alloys
B23K0103060000	Cast-iron alloys
B23K0103080000	Non-ferrous metals or alloys
B23K0103100000	Aluminium or alloys thereof
B23K0103120000	Copper or alloys thereof
B23K0103140000	Titanium or alloys thereof
B23K0103160000	Composite materials
B23K0103180000	Dissimilar materials
B23K0103200000	Ferrous alloys and aluminium or alloys thereof
B23K0103220000	Ferrous alloys and copper or alloys thereof
B23K0103240000	Ferrous alloys and titanium or alloys thereof
B23P	OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS (arrangements for copying or controlling B23Q)
B23P0005000000	Setting gems or the like on metal parts, e.g. diamonds on tools
B23P0006000000	Restoring or reconditioning objects (straightening or restoring form of sheet metal, metal rods, metal tubes, metal profiles, or specific articles made therefrom B21D0001000000, B21D0003000000;repairing defective or damaged objects by casting techniques B22D0019100000;procedures or apparatus covered by a single other subclass, see the relevant subclass)
B23P0006020000	Pistons or cylinders
B23P0006040000	Repairing fractures or cracked metal parts or products, e.g. castings
B23P0009000000	Treating or finishing surfaces mechanically, with or without calibrating, primarily to resist wear or impact, e.g. smoothing or roughening turbine blades or bearings (treatment covered by a single other subclass, see the relevant subclass, e.g. B24C, C21D0007000000, C22F0001000000); Features of such surfaces not otherwise provided for, their treatment being unspecified
B23P0009020000	Treating or finishing by applying pressure, e.g. knurling (B23P0009040000 takes precedence)
B23P0009040000	Treating or finishing by hammering or applying repeated pressure
B23P0011000000	Connecting or disconnecting metal parts or objects by metal-working techniques, not otherwise provided for (connecting sheet metal or metal tubes, rods or profiles B21D0039000000;riveting B21J;soldering, unsoldering, welding B23K;hand tools for connecting wire or strip B25B0025000000;connecting metal parts by adhesives F16B0011000000)
B23P0011020000	by first expanding and then shrinking or vice versa, e.g. by using pressure fluids; by making force fits
B23P0013000000	Making metal objects by operations essentially involving machining but not covered by a single other subclass (making specific objects B23P0015000000)
B23P0013020000	in which only the machining operations are important
B23P0013040000	involving slicing of profiled material
B23P0015000000	Making specific metal objects by operations not covered by a single other subclass or a group in this subclass
B23P0015020000	turbine or like blades from one piece
B23P0015040000	turbine or like blades from several pieces
B23P0015060000	piston rings from one piece
B23P0015080000	piston rings from several pieces
B23P0015100000	pistons
B23P0015120000	gratings
B23P0015140000	gear parts, e.g. gear wheels
B23P0015160000	plates with holes of very small diameter e.g. for spinning or burner nozzles
B23P0015180000	brake shoes
B23P0015200000	railroad requirements, e.g. buffers
B23P0015220000	cartridges or like shells
B23P0015240000	dies (B21C0003180000, B21C0025100000, B21D0037200000 take precedence)
B23P0015260000	heat exchangers
B23P0015280000	cutting tools (sawing tools B23D0063000000, B23D0065000000;files or rasps B23D0073000000)
B23P0015300000	lathes or like tools
B23P0015320000	twist-drills
B23P0015340000	milling cutters
B23P0015360000	for thread cutting
B23P0015380000	planing or slotting tools (B23P0015300000 takes precedence)
B23P0015400000	shearing tools
B23P0015420000	broaching tools
B23P0015440000	scraping or shaving tools
B23P0015460000	reaming tools
B23P0015480000	threading tools (milling cutters for thread-cutting B23P0015360000)
B23P0015500000	dies
B23P0015520000	taps
B23P0017000000	Metal-working operations, not covered by a single other subclass or another group in this subclass
B23P0017020000	Single metal-working processes; Machines or apparatus therefor
B23P0017040000	characterised by the nature of the material involved or the kind of product independently of its shape
B23P0017060000	Making steel wool or the like
B23P0019000000	Machines for simply fitting together or separating metal parts or objects, or metal and non-metal parts, whether or not involving some deformation; Tools or devices therefor so far as not provided for in other classes (hand tools in general B25)
B23P0019020000	for connecting objects by press fit or for detaching same (B23P0019100000 takes precedence)
B23P0019027000	using hydraulic or pneumatic means (B23P0019033000 takes precedence)
B23P0019033000	using vibration
B23P0019040000	for assembling or disassembling parts (B23P0019100000 takes precedence)
B23P0019060000	Screw or nut setting or loosening machines
B23P0019080000	Machines for placing washers, circlips, or the like on bolts or other members
B23P0019100000	Aligning parts to be fitted together
B23P0019120000	Alignment of parts for insertion into bores
B23P0021000000	Machines for assembling a multiplicity of different parts to compose units, with or without preceding or subsequent working of such parts, e.g. with programme control
B23P0023000000	Machines or arrangements of machines for performing specified combinations of different metal-working operations not covered by a single other subclass (combined horizontal boring and milling machines B23B0039020000;if the particular kinds of operation are not essential B23Q0037000000-B23Q0041000000;features relating to operations covered by a single subclass, see the relevant subclass for the operation)
B23P0023020000	Machine tools for performing different machining operations (lathes, e.g. capstan lathes, B23B)
B23P0023040000	for both machining and other metal-working operations
B23P0023060000	Metal-working plant comprising a number of associated machines or apparatus
B23P0025000000	Auxiliary treatment of workpieces, before or during machining operations, to facilitate the action of the tool or the attainment of a desired final condition of the work, e.g. relief of internal stress
B23Q	DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING (tools of the kind used in lathes or boring machines B23B0027000000); MACHINE TOOLS IN GENERAL, CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NOT DIRECTED TO A PARTICULAR RESULT
B23Q0001000000	Members which are comprised in the general build-up of a form of machine, particularly relatively large fixed members (B23Q0037000000 takes precedence)
B23Q0001010000	Frames, beds, pillars or like members; Arrangement of ways
B23Q0001030000	Stationary work or tool supports (B23Q0001700000 takes precedence;auxiliary tables B23Q0001740000;tailstocks B23B0023000000)
B23Q0001250000	Movable or adjustable work or tool supports
B23Q0001260000	characterised by constructional features relating to the co-operation of relatively movable members; Means for preventing relative movement of such members
B23Q0001280000	Means for securing sliding members in any desired position
B23Q0001300000	controlled in conjunction with the feed mechanism
B23Q0001320000	Relative movement obtained by co-operating spherical surfaces, e.g. ball-and-socket joints
B23Q0001340000	Relative movement obtained by use of deformable elements, e.g. piezo-electric, magnetostrictive, elastic or thermally-dilatable elements (sensitive elements capable of producing movement or displacement for purposes not limited to measurement G12B0001000000)
B23Q0001360000	Springs
B23Q0001380000	using fluid bearings or fluid cushion supports
B23Q0001400000	using ball, roller or wheel arrangements
B23Q0001420000	using T-, V-, dovetail-section or like guides (B23Q0001400000 takes precedence)
B23Q0001440000	using particular mechanisms (B23Q0001260000 takes precedence)
B23Q0001460000	with screw pairs
B23Q0001480000	with sliding pairs and rotating pairs (B23Q0001460000 takes precedence)
B23Q0001500000	with rotating pairs only
B23Q0001520000	a single rotating pair
B23Q0001540000	two rotating pairs only
B23Q0001560000	with sliding pairs only
B23Q0001580000	a single sliding pair
B23Q0001600000	two sliding pairs only
B23Q0001620000	with perpendicular axes, e.g. cross-slides
B23Q0001640000	characterised by the purpose of the movement (indexing equipment B23Q0016020000)
B23Q0001660000	Work-tables interchangeably movable into operating positions
B23Q0001680000	for withdrawing tool or work during reverse movement
B23Q0001700000	Stationary or movable members for carrying working-spindles for attachment of tools or work (headstocks or the like, working-spindle supports B23B0019000000;working-spindles B23B0019020000)
B23Q0001720000	Auxiliary arrangements; Interconnections between auxiliary tables and movable machine elements
B23Q0001740000	Auxiliary tables
B23Q0001760000	Steadies; Rests
B23Q0003000000	Devices holding, supporting, or positioning, work or tools, of a kind normally removable from the machine (work-tables or other parts, e.g. faceplates, normally not incorporating means for securing work B23Q0001000000;automatic position control B23Q0015000000;rotary tool heads for turning-machines B23B0003240000, B23B0003260000;non-driven tool holders B23B0029000000;general features of turrets B23B0029240000;tools or bench devices for fastening, connecting, disengaging or holding B25B)
B23Q0003020000	for mounting on a work-table, tool-slide, or analogous part (B23Q0003150000 takes precedence)
B23Q0003040000	adjustable in inclination
B23Q0003060000	Work-clamping means
B23Q0003080000	other than mechanically-actuated
B23Q0003100000	Auxiliary devices, e.g. bolsters, extension members
B23Q0003120000	for securing to a spindle in general (B23Q0003152000 takes precedence;chucks B23B0031020000)
B23Q0003140000	Mandrels in general (expansion mandrels B23B0031400000)
B23Q0003150000	Devices for holding work using magnetic or electric force acting directly on the work
B23Q0003152000	Rotary devices
B23Q0003154000	Stationary devices
B23Q0003155000	Arrangements for automatic insertion or removal of tools
B23Q0003157000	of rotary tools
B23Q0003160000	controlled in conjunction with the operation of the tool
B23Q0003180000	for positioning only
B23Q0005000000	Driving or feeding mechanisms; Control arrangements therefor (automatic control B23Q0015000000;copying B23Q0033000000, B23Q0035000000;specially adapted for boring or drilling machines B23B0039100000, B23B0047020000)
B23Q0005020000	Driving main working members
B23Q0005027000	reciprocating members
B23Q0005033000	driven essentially by fluid pressure
B23Q0005040000	rotary shafts, e.g. working-spindles
B23Q0005060000	driven essentially by fluid pressure or pneumatic power
B23Q0005080000	electrically controlled
B23Q0005100000	driven essentially by electrical means
B23Q0005120000	Mechanical drives with means for varying the speed ratio
B23Q0005140000	step-by-step
B23Q0005160000	infinitely-variable
B23Q0005180000	Devices for preselecting speed of working-spindle
B23Q0005200000	Adjusting or stopping working-spindles in a predetermined position
B23Q0005220000	Feeding members carrying tools or work
B23Q0005260000	Fluid-pressure drives
B23Q0005280000	Electric drives
B23Q0005320000	Feeding working-spindles (feeding working-spindle supports B23Q0005340000)
B23Q0005340000	Feeding other members supporting tools or work, e.g. saddles, tool-slides, through mechanical transmission
B23Q0005360000	in which a servomotor forms an essential element
B23Q0005380000	feeding continuously
B23Q0005400000	by feed shaft, e.g. lead screw
B23Q0005420000	Mechanism associated with headstock
B23Q0005440000	Mechanism associated with the moving member
B23Q0005460000	with variable speed ratio
B23Q0005480000	by use of toothed gears
B23Q0005500000	feeding step by step
B23Q0005520000	Limiting feed movement
B23Q0005540000	Arrangements or details not restricted to group B23Q0005020000 or group B23Q0005220000 respectively
B23Q0005560000	Preventing backlash
B23Q0005580000	Safety devices
B23Q0007000000	Arrangements for handling work specially combined with or arranged in, or specially adapted for use in connection with, machine tools, e.g. for conveying, loading, positioning, discharging, sorting (incorporated in working-spindles B23B0013000000, B23B0019020000;for automatic or semi-automatic turning machines B23B0015000000)
B23Q0007020000	by means of drums or rotating tables or discs
B23Q0007030000	by means of endless chain conveyors (B23Q0007160000 takes precedence)
B23Q0007040000	by means of grippers
B23Q0007050000	by means of roller-ways (B23Q0007160000 takes precedence)
B23Q0007060000	by means of pushers
B23Q0007080000	by means of slides or chutes
B23Q0007100000	by means of magazines
B23Q0007120000	Sorting arrangements
B23Q0007140000	co-ordinated in production lines
B23Q0007160000	Loading work on to conveyors; Arranging work on conveyors, e.g. varying spacing between individual workpieces
B23Q0007180000	Orienting work on conveyors
B23Q0009000000	Arrangements for supporting or guiding portable metal-working machines or apparatus (for tapping pipes B23B0041080000;specially designed for drilling B23B0045140000)
B23Q0009020000	for securing machines or apparatus to workpieces, or other parts, of particular shape, e.g. to beams of particular cross-section
B23Q0011000000	Accessories
B23Q0011000000	Accessories fitted to machine tools for keeping tools or parts of the machine in good working condition or for cooling work; Safety devices specially combined with or arranged in, or specially adapted for use in connection with, machine tools (in respect of boring or drilling machines B23B0047240000, B23B0047320000 take precedence;safety devices in general F16P)
B23Q0011020000	Devices for removing scrap from the cutting teeth of circular cutters
B23Q0011040000	Arrangements preventing overload of tools, e.g. restricting load
B23Q0011060000	Safety devices for circular cutters
B23Q0011080000	Protective coverings for parts of machine tools; Splash guards
B23Q0011100000	Arrangements for cooling or lubricating tools or work (incorporated in tools, see the relevant subclass for the tool)
B23Q0011120000	Arrangements for cooling or lubricating parts of the machine (B23Q0011140000 takes precedence)
B23Q0011140000	Methods or arrangements for maintaining a constant temperature in parts of machine tools
B23Q0013000000	Equipment for use with tools or cutters when not in operation, e.g. protectors for storage
B23Q0015000000	Measuring; Indicating; Controlling
B23Q0015000000	Automatic control or regulation of feed movement, cutting velocity or position of tool or work
B23Q0015007000	while the tool acts upon the workpiece
B23Q0015013000	Control or regulation of feed movement (B23Q0015120000 takes precedence)
B23Q0015020000	according to the instantaneous size and the required size of the workpiece acted upon (B23Q0015060000 takes precedence)
B23Q0015040000	according to the final size of the previously machined workpiece (B23Q0015060000 takes precedence)
B23Q0015060000	according to measuring results produced by two or more gauging methods using different measuring principles, e.g. by both optical and mechanical gauging
B23Q0015080000	Control or regulation of cutting velocity (B23Q0015120000 takes precedence)
B23Q0015100000	to maintain constant cutting velocity between tool and workpiece
B23Q0015120000	Adaptive control, i.e. adjusting itself to have a performance which is optimum according to a preassigned criterion
B23Q0015140000	Control or regulation of the orientation of the tool with respect to the work
B23Q0015160000	Compensation for wear of the tool
B23Q0015180000	Compensation of tool-deflection due to temperature or force
B23Q0015200000	before or after the tool acts upon the workpiece
B23Q0015220000	Control or regulation of position of tool or workpiece
B23Q0015240000	of linear position
B23Q0015260000	of angular position
B23Q0015280000	with compensation for tool wear
B23Q0016000000	Equipment for precise positioning of tool or work into particular locations not otherwise provided for (automatic control or regulation of position of tool or work B23Q0015220000;arrangements for indicating or measuring existing or desired position of tool or work B23Q0017220000)
B23Q0016020000	Indexing equipment (specially adapted for gear-cutting machines B23F0023080000)
B23Q0016040000	having intermediate members, e.g. pawls, for locking the relatively movable parts in the indexed position
B23Q0016060000	Rotary indexing
B23Q0016080000	having means for clamping the relatively movable parts together in the indexed position
B23Q0016100000	Rotary indexing
B23Q0016120000	using optics
B23Q0017000000	Arrangements for indicating or measuring on machine tools (for automatic control or regulation of feed movement, cutting velocity or position of tool or work B23Q0015000000)
B23Q0017090000	for indicating or measuring cutting pressure or cutting-tool condition, e.g. cutting ability, load on tool (arrangements preventing overload of tools B23Q0011040000;devices for indicating failure of drills during boring B23B0049000000)
B23Q0017100000	for indicating or measuring cutting speed or number of revolutions
B23Q0017120000	for indicating or measuring vibration
B23Q0017200000	for indicating or measuring workpiece characteristics, e.g. contour, dimension, hardness
B23Q0017220000	for indicating or measuring existing or desired position of tool or work
B23Q0017240000	using optics
B23Q0023000000	Arrangements for compensating for irregularities or wear, e.g. of ways, of setting mechanisms (automatic control B23Q0015000000)
B23Q0027000000	Geometrical mechanisms for the production of work of particular shapes, not fully provided for in another subclass
B23Q0033000000	Copying
B23Q0033000000	Methods for copying
B23Q0035000000	Control systems or devices for copying directly from a pattern or a master model; Devices for use in copying manually
B23Q0035020000	Copying discrete points from the pattern, e.g. for determining the position of holes to be drilled
B23Q0035040000	using a feeler or the like travelling along the outline of the pattern, model or drawing; Feelers, patterns, or models therefor
B23Q0035060000	specially adapted for controlling successive operations, e.g. separate cuts, on a workpiece
B23Q0035080000	Means for transforming movement of the feeler or the like into feed movement of tool or work
B23Q0035100000	mechanically only
B23Q0035120000	involving electrical means (programme recording for copying purposes in a separate apparatus G05, G11)
B23Q0035121000	using mechanical sensing
B23Q0035122000	the feeler opening or closing electrical contacts
B23Q0035123000	the feeler varying the impedance in a circuit
B23Q0035124000	varying resistance
B23Q0035125000	varying capacitance
B23Q0035126000	varying inductance
B23Q0035127000	using non-mechanical sensing
B23Q0035128000	Sensing by using optical means
B23Q0035129000	Sensing by means of electric discharges
B23Q0035130000	Sensing by using magnetic means
B23Q0035140000	controlling one or more electromotors
B23Q0035160000	controlling fluid motors
B23Q0035180000	involving fluid means (B23Q0035160000 takes precedence)
B23Q0035200000	with special means for varying the ratio of reproduction
B23Q0035220000	specially adapted for compensating for wear of the tool
B23Q0035240000	Feelers; Feeler units
B23Q0035260000	designed for physical contact with a pattern or a model
B23Q0035280000	for control of a mechanical copying system
B23Q0035300000	for control of an electrical or electro-hydraulic copying system
B23Q0035320000	in which the feeler makes and breaks an electrical contact or contacts, e.g. with brush-type tracers
B23Q0035340000	in which the feeler varies an electrical characteristic in a circuit, e.g. capacity, frequency
B23Q0035360000	for control of a hydraulic or pneumatic copying system
B23Q0035380000	designed for sensing the pattern, model, or drawing without physical contact (sensing by means of a fluid jet B23Q0035360000)
B23Q0035400000	involving optical or photoelectrical systems
B23Q0035420000	Patterns; Master models
B23Q0035440000	provided with means for adjusting the contact face, e.g. comprising flexible bands held by set-screws
B23Q0035460000	Supporting devices therefor
B23Q0035480000	using a feeler or the like travelling to-and-fro between opposite parts of the outline of the pattern, model, or drawing
B23Q0037000000	Metal-working machines comprising units or sub-assemblies; Associations of metal-working machines or units
B23Q0037000000	Metal-working machines, or constructional combinations thereof, built-up from units designed so that at least some of the units can form parts of different machines or combinations; Units therefor in so far as the feature of interchangeability is important (features relating to particular metal-working operations, see the relevant subclasses, e.g. B23P0023000000)
B23Q0039000000	Metal-working machines incorporating a plurality of sub-assemblies, each capable of performing a metal-working operation (B23Q0033000000, B23P0023000000 take precedence;if the operations are similar and the kind of operation is essential, see the relevant subclass for the operation)
B23Q0039020000	the sub-assemblies being capable of being brought to act at a single operating station
B23Q0039040000	the sub-assemblies being arranged to operate simultaneously at different stations, e.g. with an annular work-table moved in steps (associations of machines connected only by work-transferring means B23Q0041000000)
B23Q0041000000	Combinations or associations of metal-working machines not directed to a particular result according to classes B21, B23 or B24 (B23Q0037000000, B23Q0039000000 take precedence;features relating to operations performed, if the different metal-working operations are of the same kind, see the subclass for the kind of operation, e.g. punching B21D, welding B23K, grinding B24B;features relating to technically specified combinations of different metal-working operations B23P0023000000)
B23Q0041020000	Features relating to transfer of work between machines (arrangements for handling work for machine tools co-ordinated in production lines B23Q0007140000)
B23Q0041040000	Features relating to relative arrangements of machines
B23Q0041060000	Features relating to organisation of working of machines
B23Q0041080000	Features relating to maintenance of efficient operation
B24	GRINDING; POLISHING
B24B	MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING (by electro-erosion B23H;abrasive or related blasting B24C; electrolytic etching or polishing C25F0003000000); DRESSING OR CONDITIONING OF ABRADING SURFACES; FEEDING OF GRINDING, POLISHING, OR LAPPING AGENTS
B24B0001000000	Processes of grinding or polishing; Use of auxiliary equipment in connection with such processes (processes characterised by the use of special machines or devices, see the relevant places for those machines or devices)
B24B0001040000	subjecting the grinding or polishing tools, the abrading or polishing medium or work to vibration, e.g. grinding with ultrasonic frequency (involving oscillating or vibrating containers B24B0031060000;superfinishing surfaces on work, e.g. by means of abrading blocks reciprocating with high frequency B24B0035000000)
B24B0003000000	Sharpening cutting edges, e.g. of tools; Accessories therefor, e.g. for holding the tools (non-abrasive sharpening devices for scythes, sickles, or the like A01D0003000000;sharpening devices designed as components of machines with cutters, see the relevant places for the machines, e.g. A01D0075080000, B26D0007120000)
B24B0003020000	of milling cutters
B24B0003040000	of plain milling cutters
B24B0003060000	of face or end milling cutters or cutter heads, e.g. of shank type
B24B0003080000	of profile milling cutters, e.g. of disc type
B24B0003100000	of routers or engraving needles
B24B0003120000	of hobs
B24B0003140000	of mortise chain cutters
B24B0003160000	of broaches
B24B0003180000	of taps or reamers
B24B0003200000	Tapering or chamfering taps or reamers
B24B0003220000	Relief cutting of taps or reamers
B24B0003240000	of drills (by fluting the shank B24B0019040000)
B24B0003260000	of the point of twist drills
B24B0003280000	by swivelling the drill around an axis angularly to the drill axis
B24B0003300000	and rotating the drill about its own axis
B24B0003320000	for thinning the point
B24B0003330000	of drills for stone
B24B0003340000	of turning or planing tools or tool bits, e.g. gear cutters (B24B0003360000 takes precedence)
B24B0003360000	of cutting blades (B24B0003580000 takes precedence)
B24B0003380000	for planing wood, e.g. cutter blades
B24B0003400000	Processes or apparatus specially adapted for sharpening curved edges
B24B0003420000	helically bent, e.g. for lawn mowers
B24B0003440000	of scythes or sickles
B24B0003460000	of disc blades
B24B0003480000	of razor blades or razors (by an abrasive block without mechanisms B24D0015060000)
B24B0003500000	operated manually
B24B0003520000	of shear blades or scissors
B24B0003540000	of hand or table knives
B24B0003550000	of knife bars for harvesting machines
B24B0003560000	of slicing bands (B24B0003580000 takes precedence)
B24B0003580000	of tools having scalloped cutting edges
B24B0003600000	of tools not covered by the preceding subgroups
B24B0005000000	Grinding surfaces of particular forms
B24B0005000000	Machines or devices designed for grinding surfaces of revolution on work, including those which also grind adjacent plane surfaces; Accessories therefor (B24B0011000000-B24B0021000000 take precedence;honing machines or devices using abrading blocks performing axial and rotary movements superimposed on one another B24B0033000000)
B24B0005010000	for combined grinding of surfaces of revolution and of adjacent plane surfaces on work
B24B0005020000	involving centres or chucks for holding work
B24B0005040000	for grinding cylindrical surfaces externally (grinding combined cylindrical and conical surfaces B24B0005140000)
B24B0005060000	for grinding cylindrical surfaces internally (B24B0005400000 takes precedence)
B24B0005080000	involving a vertical tool spindle
B24B0005100000	involving a horizontal tool spindle
B24B0005120000	for grinding cylindrical surfaces both externally and internally with several grinding wheels
B24B0005140000	for grinding conical surfaces, e.g. of centres
B24B0005160000	for grinding peculiarly profiled surfaces, e.g. bulged
B24B0005180000	involving centreless means for supporting, guiding, floating or rotating work
B24B0005200000	involving grooved abrading blocks
B24B0005220000	for grinding cylindrical surfaces, e.g. on bolts
B24B0005240000	for grinding conical surfaces
B24B0005260000	for grinding peculiarly profiled surfaces, e.g. bulged
B24B0005280000	for grinding outer surfaces concentrically to bores, involving additional centring means
B24B0005300000	Regulating-wheels; Equipment therefor
B24B0005307000	Means for supporting work
B24B0005313000	involving work-supporting means carrying several workpieces to be operated on in succession
B24B0005320000	the work-supporting means being indexable
B24B0005350000	Accessories
B24B0005360000	Single-purpose machines or devices
B24B0005370000	for grinding rolls, e.g. barrel-shaped rolls
B24B0005380000	for externally grinding travelling elongated stock, e.g. wire
B24B0005400000	for grinding tubes internally
B24B0005420000	for grinding crankshafts or crankpins
B24B0005440000	for grinding rims of vehicle wheels, e.g. for bicycles
B24B0005460000	for grinding railway car wheels
B24B0005480000	for grinding walls of very fine holes, e.g. in drawing-dies
B24B0005500000	characterised by a special design with respect to properties of the material of non-metallic articles to be ground, e.g. strings
B24B0007000000	Machines or devices designed for grinding plane surfaces on work, including polishing plane glass surfaces; Accessories therefor (B24B0021000000 takes precedence;honing of plane surfaces on work B24B0033055000)
B24B0007020000	involving a reciprocatingly-moved work-table
